case,cores,singlecore_cycles,q1_cycles,q2_cycles,q3_cycles,q1_speedup,q2_speedup,q3_speedup,q3_cache_hit_rate,q3_cache_hit_bytes
case_001,1,233110.0,,233110.0,233110.0,,1.0,1.0,0.0,0
case_001,2,233110.0,116868.0,116868.0,116868.0,1.9946435294520313,1.9946435294520313,1.0,0.0,0
case_001,3,233110.0,78545.0,78545.0,78545.0,2.9678528232223567,2.9678528232223567,1.0,0.0,0
case_001,4,233110.0,58984.0,58984.0,58984.0,3.952088702020887,3.952088702020887,1.0,0.0,0
case_001,5,233110.0,47502.0,47502.0,47502.0,4.9073723211654245,4.9073723211654245,1.0,0.0,0
case_002,1,261945.0,,261945.0,261945.0,,1.0,1.0,0.0,0
case_002,2,261945.0,261945.0,261945.0,261945.0,1.0,1.0,1.0,0.0,0
case_002,3,261945.0,261945.0,261945.0,261945.0,1.0,1.0,1.0,0.0,0
case_002,4,261945.0,261945.0,261945.0,261945.0,1.0,1.0,1.0,0.0,0
case_002,5,261945.0,261945.0,261945.0,261945.0,1.0,1.0,1.0,0.0,0
case_003,1,602212.0,,602212.0,602212.0,,1.0,1.0,0.0,0
case_003,2,602212.0,538381.0,538381.0,538381.0,1.1185610190552786,1.1185610190552786,1.0,0.04740281251672653,65536
case_003,3,602212.0,538764.0,538764.0,538764.0,1.1177658492401126,1.1177658492401126,1.0,0.044256022603417794,65536
case_003,4,602212.0,539155.0,539155.0,539155.0,1.1169552355074144,1.1169552355074144,1.0,0.04150101764122543,65536
case_003,5,602212.0,539607.0,539607.0,539607.0,1.1160196216876357,1.1160196216876357,1.0,0.03906891786680466,65536
case_004,1,392357.0,,392357.0,392357.0,,1.0,1.0,0.0,0
case_004,2,392357.0,199074.0,199074.0,199074.0,1.9709103147573264,1.9709103147573264,1.0,0.0,0
case_004,3,392357.0,134043.0,134043.0,134043.0,2.927098020784375,2.927098020784375,1.0,0.0,0
case_004,4,392357.0,104188.0,104188.0,104188.0,3.765855952700887,3.765855952700887,1.0,0.0,0
case_004,5,392357.0,88341.0,88341.0,88341.0,4.441391879195391,4.441391879195391,1.0,0.0,0
case_005,1,95618.0,,95618.0,95618.0,,1.0,1.0,0.0,0
case_005,2,95618.0,95618.0,95618.0,95618.0,1.0,1.0,1.0,0.0,0
