case,component_cycles,selected_cycles,reduction_percent
case_001,47502.0,47502.0,0.0
case_002,261945.0,57312.0,78.12059783542347
case_003,539607.0,179247.0,66.78193574212344
case_004,88341.0,88341.0,0.0
case_005,95618.0,39995.0,58.172101487167694
case_006,31733.0,27152.0,14.43607600920178
case_007,203834.0,203834.0,0.0
case_008,100603.0,100603.0,0.0
case_009,92225.0,52000.0,43.61615613987531
case_010,31015.0,28622.0,7.715621473480572
case_011,47287.0,47287.0,0.0
case_012,14300.0,14300.0,0.0
case_013,54363.0,54363.0,0.0
case_014,3694640.0,3694640.0,0.0
case_015,43437.0,43437.0,0.0
case_016,7715523.0,6999523.0,9.279993073703496
case_017,35496.0,35496.0,0.0
case_018,203865.0,203865.0,0.0
case_019,24169.0,24228.0,-0.24411436137201648
case_020,107650.0,107650.0,0.0
case_021,1250168.0,1250168.0,0.0
case_022,11828.0,11828.0,0.0
case_023,25191.0,25191.0,0.0
case_024,2555343.0,1839343.0,28.019721814253508
case_025,975282.0,975282.0,0.0
case_026,44114.0,44114.0,0.0
case_027,558753.0,638496.0,-14.271601226302133
case_028,11491035.0,11491035.0,0.0
case_029,9383.0,9383.0,0.0
case_030,561192.0,561192.0,0.0
case_031,308135.0,308135.0,0.0
case_032,10415.0,10415.0,0.0
case_033,376794.0,376794.0,0.0
case_034,178096.0,178096.0,0.0
case_035,95460.0,62135.0,34.909909909909906
case_036,187182.0,187182.0,0.0
case_037,43800.0,43800.0,0.0
case_038,280919.0,280919.0,0.0
case_039,431161.0,431161.0,0.0
case_040,110337.0,110337.0,0.0
case_041,1213259.0,1213259.0,0.0
case_042,362266.0,362266.0,0.0
case_043,269612.0,215618.0,20.026556681453343
case_044,132892.0,131105.0,1.3447009601781912
case_045,26164.0,26164.0,0.0
case_046,131039.0,124612.0,4.904646708231897
case_047,326508.0,120081.0,63.222646918299084
case_048,222220.0,112716.0,49.27729277292773
case_049,160260.0,110442.0,31.085735679520777
case_050,108160.0,45042.0,58.35613905325443
case_051,607628.0,253856.0,58.221806763348624
case_052,51670.0,51670.0,0.0
case_053,492699.0,409010.0,16.985827046533487
case_054,518133.0,198641.0,61.66216010174994
case_055,26781.0,26781.0,0.0
case_056,265764.0,79083.0,70.24314805617013
case_057,16538.0,16538.0,0.0
case_058,1004819.0,1004819.0,0.0
case_059,150782.0,150782.0,0.0
case_060,183272.0,183272.0,0.0
case_061,22283.0,21240.0,4.680698290176366
case_062,2854809.0,581554.0,79.62896992408248
case_063,1070397.0,220501.0,79.40007305700595
case_064,19116.0,10807.0,43.46620631931366
case_065,12156.0,12156.0,0.0
case_066,250449.0,107901.0,56.91697710911203
case_067,15931687.0,14490809.0,9.044101858139697
case_068,304058.0,134203.0,55.862697248551264
case_069,25144.0,9133.0,63.67721921730831
case_070,27664.0,27664.0,0.0
case_071,18919.0,7854.0,58.486177916380356
case_072,4863110.0,4863110.0,0.0
case_073,3517515.0,3517515.0,0.0
case_074,347042.0,347042.0,0.0
case_075,1441809.0,395938.0,72.53880368342824
case_076,1238120.0,1238120.0,0.0
case_077,121081.0,121081.0,0.0
case_078,663941.0,573730.0,13.587201272402217
case_079,6075976.0,6075976.0,0.0
case_080,113455.0,100325.0,11.572870301000393
case_081,30943.0,30943.0,0.0
case_082,721041.0,206645.0,71.34074206598515
case_083,442480.0,442480.0,0.0
case_084,503472.0,503472.0,0.0
case_085,3187899.0,799811.0,74.91103074470051
case_086,118403.0,48969.0,58.642095217182
case_087,888504.0,888504.0,0.0
case_088,202791.0,100511.0,50.436163340582176
case_089,147432.0,147432.0,0.0
case_090,542638.0,529948.0,2.3385756250023038
case_091,1874503.0,1874503.0,0.0
case_092,1661234.0,1661234.0,0.0
case_093,15876.0,15876.0,0.0
case_094,25530.0,25530.0,0.0
case_095,420852.0,420852.0,0.0
case_096,27053.0,27053.0,0.0
case_097,2102348.0,2102348.0,0.0
case_098,90168.0,79943.0,11.339943217105851
case_099,337221.0,337221.0,0.0
case_100,58085.0,58085.0,0.0
